"","player_id","player"
"531",101115,"Andrew Bynum"
"532",101198,"Will Bynum"
"533",76321,"Marty Byrnes"
"534",76322,"Tommy Byrnes"
"535",76323,"Mike Bytzura"
"536",2560,"Zarko Cabarkapa"
"537",76324,"Barney Cable"
"538",203998,"Bruno Caboclo"
"539",679,"Jason Caffey"
"540",262,"Michael Cage"
"541",76326,"Gerry Calabrese"
"542",201979,"Nick Calathes"
"543",101181,"Jose Calderon"
"544",154,"Adrian Caldwell"
"545",76328,"Jim Caldwell"
"546",76329,"Joe Caldwell"
"547",203484,"Kentavious Caldwell-Pope"
"548",76331,"Bill Calhoun"
"549",76330,"Corky Calhoun"
"550",76332,"Demetrius Calip"
"551",76333,"Tom Callahan"
"552",76334,"Rick Calloway"
"553",76335,"Ernie Calverley"
"554",76336,"Mack Calvin"
"555",76337,"Dexter Cambridge"
"556",948,"Marcus Camby"
"557",922,"Elden Campbell"
"558",76338,"Tony Campbell"
"559",203477,"Isaiah Canaan"
"560",76339,"Larry Cannon"
"561",203991,"Clint Capela"
"562",202382,"Derrick Caracter"
"563",2073,"Brian Cardinal"
"564",76340,"Howie Carl"
"565",76341,"Chet Carlisle"
"566",2367,"Geno Carlisle"
"567",76342,"Rick Carlisle"
"568",76343,"Al Carlson"
"569",76344,"Don Carlson"
"570",76345,"Bob Carney"
"571",200760,"Rodney Carney"
"572",76346,"Bob Carpenter"
"573",156,"Antoine Carr"
"574",76348,"Austin Carr"
"575",713,"Chris Carr"
"576",1757,"Cory Carr"
"577",76350,"Kenny Carr"
"578",76351,"M.L. Carr"
"579",76352,"Bob Carrington"
"580",201960,"DeMarre Carroll"
"581",76353,"Joe Barry Carroll"
"582",2679,"Matt Carroll"
"583",1131,"Jimmy Carruth"
"584",1853,"Anthony Carter"
"585",76355,"Butch Carter"
"586",76356,"Fred Carter"
"587",76357,"George Carter"
"588",76358,"Howard Carter"
"589",76359,"Jake Carter"
"590",2466,"Maurice Carter"
"591",76360,"Reggie Carter"
"592",76361,"Ron Carter"
"593",1713,"Vince Carter"
"594",203487,"Michael Carter-Williams"
"595",76362,"Bill Cartwright"
"596",76363,"Jay Carty"
"597",76364,"Cornelius Cash"
"598",208,"Sam Cassell"
"599",201956,"Omri Casspi"
"600",76365,"Harvey Catchings"
"601",767,"Terry Catledge"
"602",76367,"Sid Catlett"
"603",1509,"Kelvin Cato"
"604",76368,"Bobby Cattage"
"605",1626161,"Willie Cauley-Stein"
"606",190,"Duane Causwell"
"607",76370,"Ron Cavenall"
"608",76,"Cedric Ceballos"
"609",1911,"John Celestand"
"610",76373,"Al Cervi"
"611",2763,"Lionel Chalmers"
"612",201596,"Mario Chalmers"
"613",76374,"Bill Chamberlain"
"614",76375,"Wilt Chamberlain"
"615",76376,"Jerry Chambers"
"616",1472,"Tom Chambers"
"617",76378,"Mike Champion"
"618",2199,"Tyson Chandler"
"619",201163,"Wilson Chandler"
"620",76379,"Don Chaney"
"621",76380,"John Chaney"
"622",364,"Rex Chapman"
"623",76382,"Len Chappell"
"624",76383,"Ken Charles"
"625",76384,"Lorenzo Charles"
"626",384,"Calbert Cheaney"
"627",76385,"Maurice Cheeks"
"628",76386,"Phil Chenier"
"629",203805,"Will Cherry"
"630",76387,"Derrick Chievous"
"631",432,"Pete Chilcutt"
"632",2735,"Josh Childress"
"633",719,"Randolph Childress"
"634",164,"Chris Childs"
"635",76391,"Leroy Chollet"
"636",76392,"Jim Chones"
"637",1627737,"Marquese Chriss"
"638",76393,"Fred Christ"
"639",76394,"Cal Christensen"
"640",76395,"Bob Christian"
"641",57,"Doug Christie"
"642",202091,"Dionte Christmas"
"643",1626176,"Rakeem Christmas"
"644",203902,"Semaj Christon"
"645",203565,"Patrick Christopher"
"646",928,"Robert Churchwell"
"647",76397,"Archie Clark"
"648",76398,"Carlos Clark"
"649",201947,"Earl Clark"
"650",203546,"Ian Clark"
"651",1721,"Keon Clark"
"652",1626262,"Coty Clarke"
"653",203903,"Jordan Clarkson"
"654",201964,"Victor Claver"
"655",1127,"Charles Claxton"
"656",2049,"Speedy Claxton"
"657",76402,"Jim Cleamons"
"658",2043,"Mateen Cleaves"
"659",76403,"John Clemens"
"660",76404,"Nat Clifton"
"661",76406,"Bill Closs"
"662",1569,"Keith Closs"
"663",76407,"Paul Cloyd"
"664",76408,"Marion Cluggish"
"665",76409,"Ben Clyde"
"666",76410,"Richard Coffey"
"667",76411,"Fred Cofield"
"668",715,"John Coker"
"669",202708,"Norris Cole"
"670",76412,"Ben Coleman"
"671",934,"Derrick Coleman"
"672",76413,"E.C. Coleman"
"673",76414,"Jack Coleman"
"674",76415,"Norris Coleman"
"675",902,"Bimbo Coles"
"676",2044,"Jason Collier"
"677",76416,"Art Collins"
"678",76418,"Don Collins"
"679",76421,"Doug Collins"
"680",1530,"James Collins"
"681",2260,"Jarron Collins"
"682",2215,"Jason Collins"
"683",76419,"Jimmy Collins"
"684",200776,"Mardy Collins"
"685",202395,"Sherron Collins"
"686",201954,"Darren Collison"
"687",2555,"Nick Collison"
"688",76422,"Joe Colone"
"689",2173,"Sean Colson"
"690",306,"Steve Colter"
"691",76425,"Leroy Combs"
"692",76426,"Dallas Comegys"
"693",76427,"Larry Comley"
"694",76428,"Gene Conley"
"695",201144,"Mike Conley"
"696",76429,"Ed Conlin"
"697",55,"Marty Conlon"
"698",1626192,"Pat Connaughton"
"699",76431,"Lester Conner"
"700",76432,"Chuck Connors"
"701",101215,"Will Conroy"
"702",76433,"Anthony Cook"
"703",76434,"Bert Cook"
"704",76438,"Bobby Cook"
"705",2567,"Brian Cook"
"706",201161,"Daequan Cook"
"707",76435,"Darwin Cook"
"708",76436,"Jeff Cook"
"709",76437,"Norm Cook"
"710",2241,"Omar Cook"
"711",76439,"David Cooke"
"712",76440,"Joe Cooke"
"713",204022,"Jack Cooley"
"714",76442,"Chuck Cooper"
"715",1030,"Duane Cooper"
"716",76443,"Joe Cooper"
"717",76444,"Michael Cooper"
"718",76441,"Wayne Cooper"
"719",76446,"Tom Copa"
"720",203142,"Chris Copeland"
"721",76447,"Hollis Copeland"
"722",76448,"Lanard Copeland"
"723",895,"Tyrone Corbin"
"724",76450,"Chris Corchiani"
"725",76451,"Ken Corley"
"726",76452,"Ray Corley"
"727",76453,"Dave Corzine"
"728",76454,"Larry Costello"
"729",203955,"Bryce Cotton"
"730",76456,"Jack Cotton"
"731",1526,"James Cotton"
"732",76457,"John Coughran"
"733",76458,"Mel Counts"
"734",76459,"Steve Courtin"
"735",1432,"Joe Courtney"
"736",202408,"Marcus Cousin"
"737",202326,"DeMarcus Cousins"
"738",600003,"Bob Cousy"
"739",203496,"Robert Covington"
"740",76462,"Dave Cowens"
"741",76463,"John Cox"
"742",76464,"Johnny Cox"
"743",76465,"Wesley Cox"
"744",203459,"Allen Crabbe"
"745",1544,"Chris Crawford"
"746",76466,"Freddie Crawford"
"747",2037,"Jamal Crawford"
"748",201621,"Joe Crawford"
"749",202348,"Jordan Crawford"
"750",76468,"Jim Creighton"
"751",76469,"Ron Crevier"
"752",76470,"Hal Crisler"
"753",2343,"Joe Crispin"
"754",76471,"Charlie Criss"
"755",76472,"Winston Crite"
"756",201159,"Javaris Crittenton"
"757",76473,"Dillard Crocker"
"758",76474,"Jeffrey Crompton"
"759",76475,"Terry Crosby"
"760",1506,"Austin Croshere"
"761",76476,"Jeff Cross"
"762",76477,"Pete Cross"
"763",76478,"Russell Cross"
"764",76479,"Francis Crossin"
"765",180,"John Crotty"
"766",76481,"Mark Crow"
"767",76482,"Corey Crowder"
"768",203109,"Jae Crowder"
"769",76483,"Pat Cummings"
"770",187,"Terry Cummings"
"771",1907,"Vonteego Cummings"
"772",76487,"Billy Cunningham"
"773",201967,"Dante Cunningham"
"774",76485,"Dick Cunningham"
"775",203099,"Jared Cunningham"
"776",1061,"William Cunningham"
"777",76488,"Radisav Curcic"
"778",76489,"Armand Cure"
"779",940,"Earl Cureton"
"780",223,"Bill Curley"
"781",76492,"Fran Curran"
"782",209,"Dell Curry"
"783",2201,"Eddy Curry"
"784",201191,"JamesOn Curry"
"785",688,"Michael Curry"
"786",203552,"Seth Curry"
"787",201939,"Stephen Curry"
"788",687,"Rastko Cvetkovic"
"789",76505,"Mike D'Antoni"
"790",76496,"Ed Dahler"
"791",76497,"Quintin Dailey"
"792",2223,"Samuel Dalembert"
"793",76498,"Howie Dallmar"
"794",956,"Erick Dampier"
"795",76499,"Lou Dampier"
"796",76500,"Bob Dandridge"
"797",1498,"Antonio Daniels"
"798",2845,"Erik Daniels"
"799",1380,"Lloyd Daniels"
"800",2605,"Marquis Daniels"
"801",76502,"Mel Daniels"
"802",203584,"Troy Daniels"
"803",390,"Sasha Danilovic"
"804",76504,"Adrian Dantley"
"805",76506,"Henry Darcey"
"806",76507,"Jimmy Darden"
"807",212,"Yinka Dare"
"808",76509,"Jesse Dark"
"809",76511,"Jimmy Darrow"
"810",203540,"Gigi Datome"
"811",921,"Brad Daugherty"
"812",1600,"Kornel David"
"813",201176,"Jermareo Davidson"
"814",76514,"Bob Davies"
"815",203561,"Brandon Davies"
"816",203076,"Anthony Davis"
"817",213,"Antonio Davis"
"818",76515,"Aubrey Davis"
"819",1884,"Baron Davis"
"820",989,"Ben Davis"
